departamento,codigodanemunicipio,tipoarea,ano,mes,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
VALLE DEL CAUCA,76563,Rural,2009,2,No,Fuerza publica,Herido,Masculino,3.433,-76.083,Accidente por MAP,"(3.433, -76.083)",Fuerza publica
HUILA,41524,Rural,2008,12,No,Fuerza publica,Muerto,Masculino,2.892986944,-75.44086194,Accidente por MAP,"(2.892986944, -75.44086194)",Fuerza publica
HUILA,41524,Rural,2008,12,No,Fuerza publica,Herido,Masculino,2.892986944,-75.44086194,Accidente por MAP,"(2.892986944, -75.44086194)",Fuerza publica
HUILA,41524,Rural,2008,12,No,Fuerza publica,Herido,Masculino,2.892986944,-75.44086194,Accidente por MAP,"(2.892986944, -75.44086194)",Fuerza publica
HUILA,41524,Rural,2008,12,No,Fuerza publica,Herido,Masculino,2.892986944,-75.44086194,Accidente por MAP,"(2.892986944, -75.44086194)",Fuerza publica
HUILA,41524,Rural,2008,12,No,Fuerza publica,Herido,Masculino,2.892986944,-75.44086194,Accidente por MAP,"(2.892986944, -75.44086194)",Fuerza publica
CORDOBA,23807,Rural,2008,11,No,Fuerza publica,Herido,Masculino,7.445833333,-76.14361111,Accidente por MAP,"(7.445833333, -76.14361111)",Fuerza publica
CORDOBA,23807,Rural,2008,11,No,Fuerza publica,Herido,Masculino,7.445833333,-76.14361111,Accidente por MAP,"(7.445833333, -76.14361111)",Fuerza publica
CORDOBA,23807,Rural,2008,11,No,Fuerza publica,Herido,Masculino,7.445833333,-76.14361111,Accidente por MAP,"(7.445833333, -76.14361111)",Fuerza publica
ANTIOQUIA,5040,Rural,2008,12,No,Fuerza publica,Herido,Masculino,7.222222222,-75.05833333,Accidente por MAP,"(7.222222222, -75.05833333)",Fuerza publica
ANTIOQUIA,5040,Rural,2008,12,No,Fuerza publica,Herido,Masculino,7.222222222,-75.05833333,Accidente por MAP,"(7.222222222, -75.05833333)",Fuerza publica
ANTIOQUIA,5040,Rural,2008,12,No,Fuerza publica,Herido,Masculino,7.222222222,-75.05833333,Accidente por MAP,"(7.222222222, -75.05833333)",Fuerza publica
NARINO,52678,Rural,2009,4,Indigena,Civil,Herido,Masculino,1.337083,-77.59313,Accidente por MAP,"(1.337083, -77.59313)",Sin Información
NARINO,52678,Rural,2009,4,Indigena,Civil,Herido,Masculino,1.337083,-77.59313,Accidente por MAP,"(1.337083, -77.59313)",Sin Información
NARINO,52678,Rural,2009,4,Indigena,Civil,Herido,Masculino,1.337083,-77.59313,Accidente por MAP,"(1.337083, -77.59313)",Sin Información
NARINO,52678,Rural,2009,4,Indigena,Civil,Herido,Masculino,1.337083,-77.59313,Accidente por MAP,"(1.337083, -77.59313)",Sin Información
NARINO,52678,Rural,2009,8,No,Fuerza publica,Herido,Masculino,1.479166667,-77.76388889,Accidente por MAP,"(1.479166667, -77.76388889)",Fuerza publica
ANTIOQUIA,5361,Rural,2010,3,No,Fuerza publica,Herido,Masculino,7.369444444,-75.77694444,Accidente por MAP,"(7.369444444, -75.77694444)",Fuerza publica
ANTIOQUIA,5361,Rural,2010,3,No,Fuerza publica,Herido,Masculino,7.369444444,-75.77694444,Accidente por MAP,"(7.369444444, -75.77694444)",Fuerza publica
VAUPES,97161,Rural,2010,3,No,Fuerza publica,Herido,Masculino,1.115,-71.56083333,Accidente por MAP,"(1.115, -71.56083333)",Fuerza publica
ANTIOQUIA,5790,Rural,2010,3,No,Fuerza publica,Herido,Masculino,7.491666667,-75.47361111,Accidente por MAP,"(7.491666667, -75.47361111)",Fuerza publica
GUAVIARE,95001,Rural,2010,3,No,Fuerza publica,Herido,Masculino,2.801944444,-71.81972222,Accidente por MAP,"(2.801944444, -71.81972222)",Fuerza publica
ANTIOQUIA,5790,Rural,2010,3,No,Fuerza publica,Herido,Masculino,7.448333333,-75.45333333,Accidente por MAP,"(7.448333333, -75.45333333)",Fuerza publica
NORTE DE SANTANDER,54250,Rural,2008,8,No,Civil,Herido,Masculino,8.574766,-73.097044,Accidente por MAP,"(8.574766, -73.097044)",Erradicador manual - PCI
NORTE DE SANTANDER,54250,Rural,2008,8,No,Civil,Herido,Masculino,8.574766,-73.097044,Accidente por MAP,"(8.574766, -73.097044)",Erradicador manual - PCI
NORTE DE SANTANDER,54250,Rural,2008,8,No,Civil,Herido,Masculino,8.574766,-73.097044,Accidente por MAP,"(8.574766, -73.097044)",Erradicador manual - PCI
NARINO,52678,Rural,2010,3,No,Fuerza publica,Herido,Masculino,1.525833333,-77.77944444,Accidente por MAP,"(1.525833333, -77.77944444)",Fuerza publica
NARINO,52678,Rural,2010,3,No,Fuerza publica,Herido,Masculino,1.525833333,-77.77944444,Accidente por MAP,"(1.525833333, -77.77944444)",Fuerza publica
ANTIOQUIA,5361,Rural,2010,3,No,Fuerza publica,Muerto,Masculino,7.286388889,-75.95944444,Accidente por MAP,"(7.286388889, -75.95944444)",Fuerza publica
ANTIOQUIA,5361,Rural,2010,3,No,Fuerza publica,Herido,Masculino,7.341388889,-75.95,Accidente por MAP,"(7.341388889, -75.95)",Fuerza publica
META,50711,Rural,2010,3,No,Fuerza publica,Herido,Masculino,3.033888889,-73.885,Accidente por MAP,"(3.033888889, -73.885)",Fuerza publica
NORTE DE SANTANDER,54344,Rural,2010,3,No,Fuerza publica,Herido,Masculino,8.342777778,-73.05,Accidente por MAP,"(8.342777778, -73.05)",Fuerza publica
HUILA,41359,Rural,2010,3,No,Fuerza publica,Herido,Masculino,1.929816,-76.216388,Accidente por MAP,"(1.929816, -76.216388)",Fuerza publica
NORTE DE SANTANDER,54003,Rural,2010,3,No,Fuerza publica,Herido,Masculino,8.248055556,-73.03972222,Accidente por MAP,"(8.248055556, -73.03972222)",Fuerza publica
NORTE DE SANTANDER,54344,Rural,2010,4,No,Fuerza publica,Herido,Masculino,8.371388889,-73.02611111,Accidente por MAP,"(8.371388889, -73.02611111)",Fuerza publica
CAUCA,19212,Rural,2010,4,No,Fuerza publica,Herido,Masculino,3.168611111,-76.18027778,Accidente por MAP,"(3.168611111, -76.18027778)",Fuerza publica
CAUCA,19212,Rural,2010,4,No,Fuerza publica,Herido,Masculino,3.168611111,-76.18027778,Accidente por MAP,"(3.168611111, -76.18027778)",Fuerza publica
